Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
CAL,21.86,411200,2021-12-23,0.00%,832647000,6.41,+61.33%
CALM,36.49,626600,2021-12-23,+0.80%,1782829000,517.14,-3.41%
CALX,66.23,431700,2021-12-23,+1.24%,4222560000,51.51,+106.39%
CAMP,7.61,568000,2021-12-23,+3.68%,273062000,0,-20.23%
CAR,223.93,791700,2021-12-23,+3.24%,12640401000,13.71,+513.17%
CARA,12.66,396200,2021-12-23,+3.18%,676791000,25.04,-19.36%
CARE,14.92,33300,2021-12-23,+0.67%,394798000,0,+40.23%
CARG,33.55,1069700,2021-12-23,+2.54%,3948265000,31.16,+0.84%
CARS,16.3,460800,2021-12-23,+2.52%,1126362000,72.27,+43.11%
CASA,5.47,184600,2021-12-23,+0.92%,470453000,30.11,-15.59%
CASH,57.79,109600,2021-12-23,+0.36%,1765426000,13.12,+56.95%
CASS,40.25,37800,2021-12-23,-0.17%,563903000,21.33,+6.26%
CATC,89.7,5000,2021-12-23,+0.17%,624734000,11.31,+26.93%
CATO,16.93,86300,2021-12-23,+0.77%,372883000,10.37,+105.96%
CATY,42.32,211300,2021-12-23,-0.12%,3268077000,11.42,+34.18%
CBAY,3.51,291900,2021-12-23,+1.15%,242344000,0,-46.66%
CBNK,26.09,25700,2021-12-23,+4.36%,361816000,9.19,+90.72%
CBRL,128.09,281100,2021-12-23,+3.10%,3012932000,20.78,-5.61%
CBT,54.58,160000,2021-12-23,+0.94%,3100308000,10.77,+22.96%
CBTX,28.69,81400,2021-12-23,+0.91%,705200000,15.04,+9.63%
CBU,74.17,115300,2021-12-23,+0.47%,4000061000,20.91,+18.41%
CBZ,39.67,95500,2021-12-23,+1.38%,2066489000,21.38,+51.93%
CCB,52.03,92800,2021-12-23,0.00%,624984000,26.41,+139.77%
CCBG,26.58,23000,2021-12-23,+0.87%,448617000,12.79,+6.41%
CCCC,33.38,317400,2021-12-23,+4.35%,1623136000,0,-9.91%
CCF,99.19,7700,2021-12-23,-0.13%,938090000,20.02,-8.31%
CCMP,189.98,291900,2021-12-23,+1.33%,5400180000,26.37,+35.50%
CCNE,26.7,17000,2021-12-23,+0.72%,451043000,8.52,+26.24%
CCO,3.42,1826200,2021-12-23,+0.59%,1609808000,0,+107.27%
CCOI,73.56,179800,2021-12-23,+0.05%,3506899000,88.58,+25.70%
